Model Name,Card Name,Card Description,Similar Card 1,Similar Card 2,Similar Card 3,Similar Card 4,Similar Card 5
bilstm_attention,Sol Ring,{T}: Add {C}{C}.,Great Furnace: {T}: Add {R}.,Ancient Den: {T}: Add {W}.,Iron Myr: {T}: Add {R}.,Seat of the Synod: {T}: Add {U}.,Silver Myr: {T}: Add {U}.
bilstm_attention,Structural Assault,"Destroy all artifacts, then Structural Assault deals damage to each creature equal to the number of artifacts that were put into graveyards from the battlefield this turn.",Syphon Mind: Each other player discards a card. You draw a card for each card discarded this way.,Drain Power: Target player activates a mana ability of each land they control. Then that player loses all unspent mana and you add the mana lost this way.,"Let the Galaxy Burn: Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom of your library in a random order.)
Let the Galaxy Burn deals X plus 2 damage to each creature that didn't enter the battlefield this turn.",Kaya's Wrath: Destroy all creatures. You gain life equal to the number of creatures you controlled that were destroyed this way.,"Jeska's Will: Choose one. If you control a commander as you cast this spell, you may choose both.
• Add {R} for each card in target opponent's hand.
• Exile the top three cards of your library. You may play them this turn."
bilstm_attention,Crossbow Ambush,Creatures you control gain reach until end of turn. (They can block creatures with flying.),Shape the Sands: Target creature gets +0/+5 and gains reach until end of turn. (It can block creatures with flying.),"Galvanic Bombardment: Galvanic Bombardment deals X damage to target creature, where X is 2 plus the number of cards named Galvanic Bombardment in your graveyard.","Treetop Defense: Cast this spell only during the declare attackers step and only if you've been attacked this step.
Creatures you control gain reach until end of turn. (They can block creatures with flying.)","Cosmic Hunger: Target creature you control deals damage equal to its power to another target creature, planeswalker, or battle.","Sewers of Estark: Choose target creature. If it's attacking, it can't be blocked this turn. If it's blocking, prevent all combat damage that would be dealt this combat by it and each creature it's blocking."
bilstm_attention,Mephitic Draught,"When Mephitic Draught enters the battlefield or is put into a graveyard from the battlefield, you draw a card and you lose 1 life.","Metalspinner's Puzzleknot: When Metalspinner's Puzzleknot enters the battlefield, you draw a card and you lose 1 life.
{2}{B}, Sacrifice Metalspinner's Puzzleknot: You draw a card and you lose 1 life.","Throne of Bone: Whenever a player casts a black spell, you may pay {1}. If you do, you gain 1 life.","Origin Spellbomb: {1}, {T}, Sacrifice Origin Spellbomb: Create a 1/1 colorless Myr artifact creature token.
When Origin Spellbomb is put into a graveyard from the battlefield, you may pay {W}. If you do, draw a card.","Skullmead Cauldron: {T}: You gain 1 life.
{T}, Discard a card: You gain 3 life.",Stone Calendar: Spells you cast cost up to {1} less to cast.
bilstm_attention,Sangromancer,"Flying
Whenever a creature an opponent controls dies, you may gain 3 life.
Whenever an opponent discards a card, you may gain 3 life.",Rootwater Shaman: You may cast Aura spells with enchant creature as though they had flash.,"Resplendent Mentor: White creatures you control have ""{T}: You gain 1 life.""","Shivan Sand-Mage: When Shivan Sand-Mage enters the battlefield, choose one —
• Remove two time counters from target permanent or suspended card.
• Put two time counters on target permanent with a time counter on it or suspended card.
Suspend 4—{R}","Dowsing Shaman: {2}{G}, {T}: Return target enchantment card from your graveyard to your hand.",Merfolk Mistbinder: Other Merfolk you control get +1/+1.
bilstm_attention,Propaganda,Creatures can't attack you unless their controller pays {2} for each creature they control that's attacking you.,"Gravitational Shift: Creatures with flying get +2/+0.
Creatures without flying get -2/-0.","Sarcomancy: When Sarcomancy enters the battlefield, create a 2/2 black Zombie creature token.
At the beginning of your upkeep, if there are no Zombies on the battlefield, Sarcomancy deals 1 damage to you.","Soul Barrier: Whenever an opponent casts a creature spell, Soul Barrier deals 2 damage to that player unless they pay {2}.","Solitary Confinement: At the beginning of your upkeep, sacrifice Solitary Confinement unless you discard a card.
Skip your draw step.
You have shroud. (You can't be the target of spells or abilities.)
Prevent all damage that would be dealt to you.","Stasis: Players skip their untap steps.
At the beginning of your upkeep, sacrifice Stasis unless you pay {U}."
bilstm_attention,Rhystic Study,"Whenever an opponent casts a spell, you may draw a card unless that player pays {1}.","Liliana's Caress: Whenever an opponent discards a card, that player loses 2 life.","Meticulous Excavation: {2}{W}: Return target permanent you control to its owner's hand. If it has unearth, instead exile it, then return that card to its owner's hand. Activate only during your turn.","Soul Stair Expedition: Landfall — Whenever a land enters the battlefield under your control, you may put a quest counter on Soul Stair Expedition.
Remove three quest counters from Soul Stair Expedition and sacrifice it: Return up to two target creature cards from your graveyard to your hand.","Quest for the Goblin Lord: Whenever a Goblin enters the battlefield under your control, you may put a quest counter on Quest for the Goblin Lord.
As long as Quest for the Goblin Lord has five or more quest counters on it, creatures you control get +2/+0.","Pyromancer's Swath: If an instant or sorcery source you control would deal damage to a permanent or player, it deals that much damage plus 2 to that permanent or player instead.
At the beginning of each end step, discard your hand."
bilstm_attention,Sun Titan,"Vigilance
Whenever Sun Titan enters the battlefield or attacks, you may return target permanent card with mana value 3 or less from your graveyard to the battlefield.",War Behemoth: Morph {4}{W} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.),"Sparksmith: {T}: Sparksmith deals X damage to target creature and X damage to you, where X is the number of Goblins on the battlefield.","Gingerbread Hunter // Puny Snack: When Gingerbread Hunter enters the battlefield, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this artifact: You gain 3 life."")","Arden Angel: Flying
At the beginning of your upkeep, if Arden Angel is in your graveyard, roll a four-sided die. If the result is 1, return Arden Angel from your graveyard to the battlefield.","Enslaved Horror: When Enslaved Horror enters the battlefield, each other player may return a creature card from their graveyard to the battlefield."
bilstm_attention,Diabolic Tutor,"Search your library for a card, put that card into your hand, then shuffle.","Library of Lat-Nam: An opponent chooses one —
• You draw three cards at the beginning of the next turn's upkeep.
• You search your library for a card, put that card into your hand, then shuffle.","Secret Salvage: Exile target nonland card from your graveyard. Search your library for any number of cards with the same name as that card, reveal them, put them into your hand, then shuffle.","Pack Hunt: Search your library for up to three cards with the same name as target creature, reveal them, put them into your hand, then shuffle.","Steelshaper's Gift: Search your library for an Equipment card, reveal that card, put it into your hand, then shuffle.","Seek the Horizon: Search your library for up to three basic land cards, reveal them, put them into your hand, then shuffle."
bilstm_attention,Sublime Epiphany,"Choose one or more —
• Counter target spell.
• Counter target activated or triggered ability.
• Return target nonland permanent to its owner's hand.
• Create a token that's a copy of target creature you control.
• Target player draws a card.","Heliod's Intervention: Choose one —
• Destroy X target artifacts and/or enchantments.
• Target player gains twice X life.","Steady Progress: Proliferate. (Choose any number of permanents and/or players, then give each another counter of each kind already there.)
Draw a card.","Repel the Darkness: Tap up to two target creatures.
Draw a card.","Peek: Look at target player's hand.
Draw a card.","Glacial Grasp: Tap target creature. Its controller mills two cards. That creature doesn't untap during its controller's next untap step. (They put the top two cards of their library into their graveyard.)
Draw a card."
bilstm_attention,Rampant Growth,"Search your library for a basic land card, put that card onto the battlefield tapped, then shuffle.","Grow from the Ashes: Kicker {2} (You may pay an additional {2} as you cast this spell.)
Search your library for a basic land card, put it onto the battlefield, then shuffle. If this spell was kicked, instead search your library for two basic land cards, put them onto the battlefield, then shuffle.","Nissa's Expedition: Convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.","Scapeshift: Sacrifice any number of lands. Search your library for up to that many land cards, put them onto the battlefield tapped, then shuffle.","Circuitous Route: Search your library for up to two basic land cards and/or Gate cards, put them onto the battlefield tapped, then shuffle.","Indomitable Creativity: Destroy X target artifacts and/or creatures. For each permanent destroyed this way, its controller reveals cards from the top of their library until an artifact or creature card is revealed and exiles that card. Those players put the exiled cards onto the battlefield, then shuffle."
bilstm_attention,Geist of Saint Traft,"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Whenever Geist of Saint Traft attacks, create a 4/4 white Angel creature token with flying that's tapped and attacking. Exile that token at end of combat.","Varolz, the Scar-Striped: Each creature card in your graveyard has scavenge. The scavenge cost is equal to its mana cost. (Exile a creature card from your graveyard and pay its mana cost: Put a number of +1/+1 counters equal to that card's power on target creature. Scavenge only as a sorcery.)
Sacrifice another creature: Regenerate Varolz, the Scar-Striped.","Priest of the Haunted Edge: {T}, Sacrifice Priest of the Haunted Edge: Target creature gets -X/-X until end of turn, where X is the number of snow lands you control. Activate only as a sorcery.","Kaalia, Zenith Seeker: Flying, vigilance
When Kaalia, Zenith Seeker enters the battlefield, look at the top six cards of your library. You may reveal an Angel card, a Demon card, and/or a Dragon card from among them and put them into your hand. Put the rest on the bottom of your library in a random order.","Hazduhr the Abbot: {X}, {T}: The next X damage that would be dealt this turn to target white creature you control is dealt to Hazduhr the Abbot instead.","Arjun, the Shifting Flame: Flying
Whenever you cast a spell, put the cards in your hand on the bottom of your library in any order, then draw that many cards."
bilstm_attention,Zap,"Zap deals 1 damage to any target.
Draw a card.",Call to Heel: Return target creature to its owner's hand. Its controller draws a card.,"Annihilate: Destroy target nonblack creature. It can't be regenerated.
Draw a card.","Execute: Destroy target white creature. It can't be regenerated.
Draw a card.","Lammastide Weave: Choose a card name, then target player mills a card. If a card with the chosen name was milled this way, you gain life equal to its mana value.
Draw a card.","Verdant Rebirth: Until end of turn, target creature gains ""When this creature dies, return it to its owner's hand.""
Draw a card."
